Authority,Status,SubmittedDate,DC_Approved_Date,Final_Approved_Date,Final_Plot_Area,GrossPlotArea,NetPlotArea,Case_Type,Description,Circle,Zone,OrganizationName,District,DesignationName,Lattitude,Longitude,Usage,SubUsage,MaxBuildingHeight,Height,BuiltUpArea,MotagageArea,Units,Postcode
DTCP,Shortfall,11/2/2022,-1900.0,-,20249.97,20249.97,20249.97,New,Layout with Open Plot,,,Nagarkurnool,Nagarkurnool,Architect,16.478748,78.308448,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,
DTCP,Final Approved,11/2/2022,-2022.0,11/3/2022,451.39,451.39,451.39,New,Building Permission,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.54082173,78.37779998,RESIDENTIAL,Residential Bldg/Apartment,11.9,14.95,993.47,80.8,4.0,500090
DTCP,Reject,11/2/2022,-1900.0,-,327.92,327.92,327.92,New,Occupancy Certificate,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.35067,78.386681,RESIDENTIAL,,11.6,0.0,0.0,0.0,0.0,500086
DTCP,Final Approved,11/2/2022,-2022.0,20/6/2022,536.4,536.4,536.4,New,Building Permission,,,Kamareddy,Kamareddy,Municipality Commissioner,18.32309451,78.3291593,RESIDENTIAL,Residential Bldg/Apartment,14.8,17.86,1438.06,146.18,10.0,503100
DTCP,Final Approved,14/8/2021,-2021.0,13/10/2021,625.02,626.99,625.02,New,Building Permission,,,Ameenpur,Sangareddy,Commissioner,17.53012011,78.29542445,RESIDENTIAL,All types of residential buildings,14.9,17.85,1973.94,163.63,20.0,502032
DTCP,Final Approved,11/2/2022,-2022.0,22/3/2022,250.8,250.8,250.8,New,Occupancy Certificate,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.533282,78.388719,RESIDENTIAL,,11.6,0.0,0.0,0.0,0.0,500090
DTCP,Final Approved,14/8/2021,-2021.0,20/9/2021,314.19,367.71,314.19,New,Building Permission,,,Peerzadiguda,Medchal-Malkajgiri,Commissioner,17.39941844,78.6031939,RESIDENTIAL,Bungalow,12.0,15.1,881.82,73.0,4.0,500098
HMDA,Shortfall,11/2/2023,-1900.0,-,12443.3,12443.3,12443.3,New,Building Permission,,Zone-4 Shankerpally,Manikonda,Ranga Reddy,Architect,17.40733977,78.3297442,Commercial,Retail Shop,12.6,12.6,47670.77,2577.93,0.0,
DTCP,DC Approved,11/2/2022,-2022.0,-,5613.73,19526.09,5613.73,New,Building Permission,,,Mahabubabad,Mahabubabad,Architect,17.61213803,80.00549505,ASSEMBLY,Marriage Hall,6.3,6.3,1863.14,200.0,0.0,506100
DTCP,Final Approved,11/2/2023,-2023.0,15/5/2023,689.5,689.5,689.5,New,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.66411787,78.12520184,RESIDENTIAL,Residential Bldg/Apartment,14.98,17.58,1963.62,160.66,15.0,503003
DTCP,DC Approved,14/8/2021,-2021.0,-,1225.0,1225.0,1225.0,New,Building Permission,,,Bhoothpur,Mahaboobnagar,Architect,16.69579507,78.05885843,COMMERCIAL,Petrol / Diesel / Gas Filling Stations without service facilities),4.1,4.1,36.16,4.01,0.0,509002
HMDA,Reject,11/2/2022,-1900.0,-,1611.48,1611.48,1611.48,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.36281278,78.38582006,Residential,,14.99,0.0,0.0,0.0,0.0,500091
DTCP,Final Approved,11/2/2023,-2023.0,28/4/2023,84.69,133.35,84.69,New,Building Permission,,,Mahaboobnagar,Mahaboobnagar,Commissioner,16.7485297,78.00389353,COMMERCIAL,Shop,5.5,8.7,147.34,9.66,0.0,509001
HMDA,DC Approved,11/2/2022,-2022.0,-,317.68,317.68,317.68,New,Building Permission,,Zone-1 Medchal,Gundlapochampally,Medchal-Malkajgiri,Architect,17.571854,78.478725,Residential,Residential Bldg/Apartment,11.96,14.96,901.05,72.12,8.0,500014
DTCP,DC Approved,14/8/2021,-2021.0,-,1242.03,1242.03,1242.03,New,Building Permission,,,GWMC,Warangal(Urban),Architect,17.99197704,79.63047074,COMMERCIAL,Office,6.0,9.24,897.2,63.82,0.0,506013
HMDA,Reject,11/2/2022,-1900.0,-,724.02,724.02,724.02,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.523303,78.345481,Residential,Residential Bldg/Apartment,14.5,17.85,2313.35,297.69,20.0,502325
DTCP,Shortfall,11/2/2023,-1900.0,-,17117.93,17199.12,17117.93,New,Layout with Open Plot,,,Dubbaka,Siddipet,Architect,18.174485,78.671972,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,502108
DTCP,Reject,15/8/2021,-1900.0,-,743.71,791.46,743.71,New,Building Permission,,,Peerzadiguda,Medchal-Malkajgiri,Commissioner,17.397972,78.59067,RESIDENTIAL,Residential Bldg/Apartment,15.0,17.5,2473.31,209.61,20.0,500098
HMDA,Reject,11/2/2022,-1900.0,-,897.25,897.25,897.25,New,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Planning Ofcr,17.53831,78.487796,Residential,Residential Bldg/Apartment,14.95,17.65,2577.9,237.23,20.0,500100
DTCP,Final Approved,11/2/2022,-2022.0,30/7/2022,746.81,778.22,746.81,New,Building Permission,,,Ameenpur,Sangareddy,Commissioner,17.514828,78.306332,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.85,2322.5,193.98,20.0,502032
DTCP,Final Approved,15/8/2021,-2021.0,16/12/2021,91.97,117.03,91.97,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Assistant City Planner,17.24572773,80.15087837,COMMERCIAL,Shop,5.7,9.05,169.52,11.68,0.0,507002
HMDA,Final Approved,11/2/2022,-2022.0,28/2/2022,8093.71,8072.62,8093.71,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.52178958,78.39051625,Residential,,14.5,0.0,0.0,0.0,0.0,501002
DTCP,Final Approved,15/8/2021,-2021.0,4/11/2021,199.72,199.72,199.72,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Assistant City Planner,17.26119696,80.15204042,COMMERCIAL,Shop,8.55,11.75,389.49,35.19,0.0,507002
HMDA,Reject,11/2/2022,-1900.0,-,383.88,383.88,383.88,Addition/Alteration,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Planning Ofcr,17.24781776,78.58707681,Residential,Residential Bldg/Apartment,15.0,18.35,480.42,23.23,2.0,501511
DTCP,Final Approved,12/2/2023,-1900.0,19/3/2023,997.43,997.43,997.43,New,Occupancy Certificate,,,GWMC,Warangal(Urban),Commissioner,17.98337449,79.54444195,RESIDENTIAL,,14.5,0.0,2237.3,0.0,0.0,506004
DTCP,Final Approved,12/2/2023,-2023.0,1/3/2023,565.39,565.39,565.39,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.25372854,80.1549485,RESIDENTIAL,Residential Bldg/Apartment,14.75,18.1,1619.51,135.82,10.0,507002
DTCP,Shortfall,16/8/2021,-1900.0,-,604.9,612.63,604.9,New,Building Permission,,,Kothakota,Wanaparthy,Architect,16.38419541,77.94135817,COMMERCIAL,Shop,3.0,6.25,542.63,40.95,0.0,509381
DTCP,Final Approved,12/2/2023,-2023.0,6/4/2023,819.72,873.06,819.72,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.24681699,80.13534116,RESIDENTIAL,Residential Bldg/Apartment,14.6,17.95,1798.28,151.29,15.0,507003
HMDA,Shortfall,11/2/2022,-1900.0,-,337.24,337.24,337.24,New,Building Permission,,Zone-2 Ghatkesar,Pochampally,Yadadri-Bhuvanagiri,Architect,17.340056,78.810201,Residential,Residential Bldg/Apartment,14.95,17.45,1139.85,142.73,10.0,508284
DTCP,Final Approved,16/8/2021,-2021.0,8/11/2021,533.78,565.74,533.78,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Assistant City Planner,17.24631,80.166803,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.35,1712.59,148.49,10.0,507002
HMDA,Final Approved,11/2/2022,-2022.0,14/3/2022,445.67,445.67,445.67,New,Building Permission,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Commissioner,17.53099051,78.35305014,Residential,Residential Bldg/Apartment,14.99,17.94,1449.65,122.03,10.0,502325
DTCP,Final Approved,16/8/2021,-2021.0,27/10/2021,1017.63,1212.4,1017.63,New,Building Permission,,,GWMC,Warangal(Urban),DCP,17.99527322,79.54885327,COMMERCIAL,Other Commerical Building,15.0,15.0,3496.63,288.78,0.0,506001
HMDA,Final Approved,11/2/2022,-2022.0,14/3/2022,445.67,445.67,445.67,New,Building Permission,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Commissioner,17.5309631,78.35324924,Residential,Residential Bldg/Apartment,14.99,17.94,1449.65,122.03,10.0,502325
DTCP,Final Approved,16/8/2021,-2021.0,15/3/2022,204.3,204.3,204.3,New,Building Permission,,,Badepally(Jadcherla),Mahaboobnagar,Commissioner,16.74686801,78.15105215,COMMERCIAL,Shop,6.0,8.85,331.78,33.33,0.0,509301
HMDA,Reject,11/2/2022,-1900.0,-,668.88,668.88,668.88,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.51394463,78.33853858,Residential,,14.99,0.0,0.0,0.0,0.0,500050
DTCP,Final Approved,11/2/2022,-2022.0,30/3/2022,37988.62,37988.62,37988.62,New,Layout with Open Plot,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.20689829,80.15855355,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,507002
DTCP,Final Approved,11/2/2022,-2022.0,8/4/2022,197.41,245.03,197.41,New,Building Permission,,,Korutla,Jagityal,Commissioner,18.82538562,78.7026616,COMMERCIAL,Office,8.94,11.94,318.01,26.33,0.0,505326
DTCP,Shortfall,16/8/2021,-1900.0,-,752.13,752.13,752.13,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Architect,17.24742019,80.16650072,COMMERCIAL,Shop,12.0,12.0,1785.65,113.13,0.0,507002
DTCP,Final Approved,11/2/2022,-2022.0,7/6/2022,743.22,743.22,743.22,New,Building Permission,,,Mahabubabad,Mahabubabad,RDDTP1,17.59644269,80.00734587,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.3,2334.24,193.76,20.0,506100
DTCP,DC Approved,16/8/2021,-2021.0,-,529.22,529.22,529.22,New,Building Permission,,,Kamareddy,Kamareddy,Architect,18.32581685,78.34754824,RESIDENTIAL,Other reseidential Building,6.75,6.75,359.84,36.95,4.0,503100
DTCP,Shortfall,13/2/2023,-1900.0,-,163426.67,163426.67,163426.67,New,Layout with Open Plot,,,Amangal,Rangareddy,Architect,16.83260958,78.57038848,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509321
DTCP,Reject,13/2/2023,-1900.0,-,863.58,863.58,863.58,New,Building Permission,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.33455021,78.37202905,RESIDENTIAL,Residential Bldg/Apartment,11.2,14.8,2141.4,168.94,4.0,500086
HMDA,Reject,11/2/2022,-1900.0,-,10117.06,10117.06,10117.06,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.52559101,78.35776578,Residential,,17.1,0.0,0.0,0.0,0.0,500090
HMDA,Final Approved,16/8/2021,-2021.0,22/2/2022,585.36,585.36,585.36,Revision,Building Permission,,Zone-1 Medchal,Jawaharnagar,Medchal-Malkajgiri,Commissioner,17.5091942,78.58296505,Residential,Residential Bldg/Apartment,14.95,17.7,1729.66,219.36,15.0,500083
DTCP,Shortfall,13/2/2023,-1900.0,-,183.83,183.83,183.83,New,Building Permission,,,Kyathanpally,Mancherial,Architect,18.916029,79.446506,COMMERCIAL,Shop,9.45,12.45,543.74,41.16,0.0,504200
DTCP,Final Approved,11/2/2022,-2022.0,20/3/2022,435.54,400.0,435.54,New,Occupancy Certificate,,,GWMC,Warangal(Urban),City Planner,17.97963993,79.60044343,RESIDENTIAL,,11.92,0.0,0.0,0.0,0.0,506002
DTCP,Final Approved,11/2/2022,-2022.0,8/3/2022,3994.92,3994.92,3994.92,New,Building Permission,,,Siddipet,Siddipet,Commissioner,18.105871,78.869949,RESIDENTIAL,Residential Bldg/Apartment,14.75,17.85,12569.24,990.15,90.0,502103
DTCP,Reject,13/2/2023,-1900.0,-,812.35,812.35,812.35,New,Building Permission,,,Narsingi,Rangareddy,Commissioner,17.385304,78.322924,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.85,2202.82,183.41,10.0,500075
DTCP,Shortfall,16/8/2021,-1900.0,-,706.44,743.91,706.44,New,Building Permission,,,Turkayamjal,Rangareddy,Architect,17.2748445,78.597897,RESIDENTIAL,All types of residential buildings,12.0,15.45,1995.0,162.99,16.0,501511
DTCP,Final Approved,12/2/2022,-2022.0,23/3/2022,250.8,250.8,250.8,New,Building Permission,,,Manikonda,Rangareddy,Commissioner,17.39236905,78.38172681,RESIDENTIAL,Residential Bldg/Apartment,11.8,15.05,811.16,63.38,4.0,500089
DTCP,Final Approved,16/8/2021,-2021.0,7/1/2022,334.39,334.39,334.39,New,Building Permission,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.5484171,78.361656,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.5,17.85,1129.68,98.47,10.0,502325
DTCP,Reject,12/2/2022,-1900.0,-,168.21,181.63,168.21,New,Building Permission,,,Palwancha,Badradri-Kothagudem,Commissioner,17.60493427,80.70380618,COMMERCIAL,Shop,6.0,9.6,213.76,14.1,0.0,507115
DTCP,Final Approved,13/2/2023,-2023.0,9/3/2023,514.68,557.44,514.68,New,Building Permission,,,Siddipet,Siddipet,Commissioner,18.09760472,78.85231067,RESIDENTIAL,Residential Bldg/Apartment,11.4,14.75,1076.42,87.74,4.0,502103
HMDA,Final Approved,16/8/2021,-2021.0,12/2/2022,671.88,671.88,671.88,New,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Commissioner,17.53729101,78.4794173,Residential,Residential Bldg/Apartment,14.9,18.0,1970.7,161.71,15.0,500100
DTCP,Final Approved,13/2/2023,-2023.0,24/4/2023,746.05,746.05,746.05,New,Building Permission,,,Madhira,Khammam,Commissioner,16.92571948,80.36368192,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.7,2228.95,191.07,3.0,507203
DTCP,Final Approved,12/2/2022,-2022.0,26/2/2022,370.72,388.98,370.72,New,Building Permission,,,Bhongir,Yadadri-Bhuvanagiri,Commissioner,17.52139636,78.89377394,RESIDENTIAL,Residential Bldg/Apartment,12.0,15.25,845.82,69.41,4.0,508100
DTCP,Final Approved,16/8/2021,-2021.0,7/1/2022,334.37,334.37,334.37,New,Building Permission,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.5484171,78.3616802,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.9,18.25,1010.78,90.33,10.0,502325
DTCP,Final Approved,12/2/2022,-2022.0,10/3/2022,8759.54,9408.93,8759.54,New,Layout with Open Plot,,,Haliya,Nalgonda,Commissioner,16.77916222,79.30632498,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,508377
HMDA,Reject,13/2/2023,-1900.0,-,585.19,585.19,585.19,New,Building Permission,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.355611,78.397572,Residential,Residential Bldg/Apartment,14.9,17.4,1601.65,137.58,15.0,500093
DTCP,Final Approved,16/8/2021,-2021.0,7/1/2022,334.39,334.39,334.39,New,Building Permission,,,NIZAMPET MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.5483247,78.3616802,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.5,17.85,1129.68,98.47,10.0,502325
HMDA,Final Approved,13/2/2023,-2023.0,12/4/2023,292.43,292.43,292.43,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.52970944,78.29286961,Residential,Residential Bldg/Apartment,12.0,15.31,974.08,102.16,8.0,502032
DTCP,Final Approved,13/2/2023,-2023.0,1/4/2023,225.04,225.04,225.04,New,Building Permission,,,Huzurabad,Karimnagar,Commissioner,18.20201691,79.40239138,COMMERCIAL,Shop,6.0,9.4,410.31,28.86,0.0,505498
DTCP,Final Approved,12/2/2022,-2022.0,19/3/2022,735.79,735.79,735.79,New,Occupancy Certificate,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.24677105,80.16335459,RESIDENTIAL,,14.25,0.0,0.0,0.0,0.0,507002
HMDA,Reject,12/2/2022,-1900.0,-,343.37,343.37,343.37,New,Building Permission,,Zone-2 Ghatkesar,Nagaram,Medchal-Malkajgiri,Planning Ofcr,17.4918129,78.6047998,Residential,Residential Bldg/Apartment,14.99,17.99,1173.43,151.23,10.0,500083
HMDA,Final Approved,13/2/2023,-2023.0,31/3/2023,260.01,260.01,260.01,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.52906137,78.29486087,Residential,Residential Bldg/Apartment,12.0,15.31,840.54,70.44,8.0,502032
DTCP,Shortfall,12/2/2022,-1900.0,-,742.04,742.04,742.04,New,Building Permission,,,Mahaboobnagar,Mahaboobnagar,Architect,16.73506278,77.99860499,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.25,2320.79,202.9,20.0,509001
HMDA,Final Approved,13/2/2023,-2023.0,12/4/2023,334.16,334.16,334.16,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.53021359,78.29584524,Residential,Residential Bldg/Apartment,14.4,17.45,1157.45,99.54,10.0,502032
DTCP,DC Approved,16/8/2021,-2021.0,-,659.47,659.47,659.47,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Architect,17.24631636,80.18269427,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.45,1956.33,186.12,10.0,507002
HMDA,Final Approved,12/2/2022,-2022.0,22/10/2022,455.92,458.92,455.92,New,Building Permission,,Zone-3 Shamshabad,Badangpet Municipal Corporation,Ranga Reddy,Commissioner,17.302924,78.570892,Residential,Residential Bldg/Apartment,14.9,17.8,1498.15,190.42,10.0,500070
DTCP,Final Approved,12/2/2022,-2022.0,11/5/2022,600.78,649.07,600.78,New,Building Permission,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.42357101,79.13385206,RESIDENTIAL,Residential Bldg/Apartment,12.0,12.0,1319.01,139.69,4.0,505001
DTCP,Final Approved,16/8/2021,-2021.0,30/11/2021,995.31,995.31,995.31,New,Building Permission,,,Bodhan,Nizamabad,Commissioner,18.66331341,77.89423379,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.69,2782.88,0.0,12.0,503185
HMDA,In process,13/2/2023,-1900.0,-,47984.0,47984.0,47984.0,New,Building Permission,,Zone-3 Shamshabad,Adibatla,Ranga Reddy,COMMISSIONER,17.2565641,78.60235732,Commercial,Godowns,14.9,14.9,27867.89,2846.48,0.0,501511
HMDA,Reject,17/8/2021,-1900.0,-,1152.0,1152.0,1152.0,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Planning Ofcr,17.55979805,78.35858476,Residential,Residential Bldg/Apartment,14.5,17.86,3354.43,317.42,20.0,502325
HMDA,Reject,13/2/2023,-1900.0,-,836.0,836.0,836.0,New,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Planning Ofcr,17.547947,78.464744,Commercial,Commercial Bldg,14.93,14.93,2080.15,214.23,0.0,500014
HMDA,Reject,13/2/2023,-1900.0,-,4488.77,4488.77,4488.77,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.54753724,78.37182138,Residential,,15.0,0.0,11280.6,0.0,0.0,500090
DTCP,Final Approved,17/8/2021,-2021.0,12/11/2021,357.17,357.17,357.17,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Assistant City Planner,17.24219709,80.17630299,RESIDENTIAL,Residential Bldg/Apartment,11.4,14.85,1039.87,0.0,1.0,507002
DTCP,DC Approved,17/8/2021,-2021.0,-,636.81,636.81,636.81,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Architect,17.23965891,80.16731012,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.7,1853.63,158.63,10.0,507002
DTCP,Final Approved,12/2/2022,-2022.0,20/4/2022,21064.96,21064.96,21064.96,New,Layout with Open Plot,,,Sircilla,Rajanna-Sircilla,Commissioner,18.40078366,78.83002856,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,505301
DTCP,Reject,12/2/2022,-1900.0,-,842.26,856.06,842.26,New,Building Permission,,,BODUPPAL MUNICIPAL CORPORATION,Medchal-Malkajgiri,Commissioner,17.41342838,78.58536283,RESIDENTIAL,Residential Bldg/Apartment,3.45,3.45,593.47,45.4,1.0,500092
HMDA,DC Approved,17/8/2021,-2021.0,-,336.72,336.72,336.72,New,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Architect,17.297037,78.587754,Residential,Residential Bldg/Apartment,15.0,18.2,1121.91,0.0,10.0,501511
DTCP,Final Approved,12/2/2022,-2022.0,28/2/2022,398.83,398.83,398.83,Revision,Building Permission,,,Meerpet Municipal Corporation,Rangareddy,Commissioner,17.33593879,78.52997193,RESIDENTIAL,Bungalow,12.0,15.25,1158.29,96.19,4.0,500079
HMDA,Final Approved,17/8/2021,-2021.0,1/4/2022,352.82,352.82,352.82,New,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Commissioner,17.297037,78.587754,Residential,Residential Bldg/Apartment,15.0,18.2,1201.61,0.0,10.0,501511
HMDA,Reject,13/2/2023,-1900.0,-,3357.5,3357.5,3357.5,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.53785443,78.35451401,Industrial,,11.55,0.0,2919.24,0.0,0.0,502325
DTCP,Final Approved,17/8/2021,-2021.0,9/9/2021,367.84,367.84,367.84,New,Building Permission,,,Manikonda,Rangareddy,Commissioner,17.390195,78.377468,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,15.0,17.9,1191.26,100.66,8.0,500089
HMDA,Reject,12/2/2022,-1900.0,-,250.76,250.76,250.76,New,Building Permission,,Zone-2 Ghatkesar,Pedda Amberpet,Ranga Reddy,Planning Ofcr,17.34227277,78.63623434,Residential,Residential Bldg/Apartment,11.95,14.7,332.08,19.79,2.0,501505
HMDA,Final Approved,13/2/2023,-2023.0,13/3/2023,369.01,369.01,369.01,New,Building Permission,,Zone-1 Medchal,Medchal,Medchal-Malkajgiri,Commissioner,17.63909737,78.49537755,Residential,Residential Bldg/Apartment,14.5,17.85,1303.45,108.81,10.0,501401
DTCP,Final Approved,17/8/2021,-2022.0,6/1/2022,305.9,305.9,305.9,Addition/Alteration,Building Permission,,,Manikonda,Rangareddy,Commissioner,17.39222053,78.3792633,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,14.75,18.0,430.09,71.67,1.0,500089
DTCP,Final Approved,17/8/2021,-2021.0,24/9/2021,436.15,438.06,436.15,New,Building Permission,,,Kompally,Medchal-Malkajgiri,Commissioner,17.542059,78.479526,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,12.0,15.1,1198.23,96.0,4.0,500100
HMDA,Final Approved,13/2/2023,-2023.0,29/3/2023,262.78,262.78,262.78,New,Building Permission,,Zone-2 Ghatkesar,Boduppal Municipal Corporation,Medchal-Malkajgiri,Commissioner,17.42150761,78.60909802,Residential,Residential Bldg/Apartment,11.0,14.21,814.53,68.07,8.0,500098
DTCP,Final Approved,12/2/2022,-2022.0,27/4/2022,359.26,359.26,359.26,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,18.00136724,79.54069734,RESIDENTIAL,Bungalow,11.64,14.99,1022.17,85.19,4.0,506004
HMDA,Final Approved,13/2/2023,-2023.0,22/5/2023,418.06,418.06,418.06,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.50642741,78.33562331,Residential,Residential Bldg/Apartment,14.99,0.0,1296.04,112.39,10.0,500050
DTCP,Final Approved,13/2/2022,-2022.0,11/4/2022,4351.78,4527.36,4351.78,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,18.00471309,79.61121231,RESIDENTIAL,Residential Bldg/Apartment,14.99,18.34,13687.81,1071.8,100.0,506007
HMDA,Final Approved,13/2/2023,-2023.0,25/3/2023,2087.2,2087.2,2087.2,New,Building Permission,,Zone-1 Medchal,Thumkunta,Medchal-Malkajgiri,Commissioner,17.57039866,78.55039157,Residential,Residential Bldg/Apartment,14.89,17.99,7650.19,490.41,50.0,500078
DTCP,Final Approved,13/2/2023,-2023.0,6/3/2023,943.25,950.98,943.25,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.27295694,80.17858961,COMMERCIAL,Commerical Bldg,14.95,14.95,2673.32,188.66,0.0,507002
DTCP,Final Approved,17/8/2021,-2021.0,24/9/2021,418.0,418.0,418.0,New,Building Permission,,,Kompally,Medchal-Malkajgiri,Commissioner,17.542248,78.47957,RESIDENTIAL,All types of Residential Buildings with ground coverage not exceeding 25%,12.0,15.1,1172.51,99.65,4.0,500100
DTCP,Reject,17/8/2021,-1900.0,-,311.48,313.41,311.48,New,Building Permission,,,GWMC,Warangal(Urban),Commissioner,17.98569584,79.56576206,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.89,1036.43,90.43,10.0,506001
DTCP,Final Approved,17/8/2021,-2021.0,23/11/2021,250.51,250.51,250.51,New,Building Permission,,,GWMC,Warangal(Urban),DCP,17.98573714,79.5659011,RESIDENTIAL,Residential Bldg/Apartment,11.99,14.89,779.74,63.99,8.0,506001
DTCP,Reject,13/2/2023,-1900.0,-,10103.97,11266.68,10103.97,New,Layout with Open Plot,,,Gajwel-Pragnapur,Siddipet,Commissioner,17.82231038,78.70169683,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,502281
DTCP,Reject,17/8/2021,-1900.0,-,313.41,313.41,313.41,New,Building Permission,,,GWMC,Warangal(Urban),Commissioner,17.98583177,79.56583892,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.89,1040.48,90.43,10.0,506001
HMDA,Reject,13/2/2023,-1900.0,-,223.07,223.07,223.07,Addition/Alteration,Building Permission,,Zone-3 Shamshabad,Badangpet Municipal Corporation,Ranga Reddy,Planning Ofcr,17.29981439,78.54984311,Residential,Residential Bldg/Apartment,11.96,14.86,681.54,55.71,4.0,500097
DTCP,Final Approved,13/2/2022,-2022.0,22/3/2022,12128.59,12128.59,12128.59,New,Layout with Open Plot,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.28471584,80.18528919,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,507002
